symbol	desc	logFC	adj.P.Val	B
 ABHD17A 	 abhydrolase domain containing 17A 	0.4584140513	0.0798744182	-3.3238581038
 ABHD17A 	 abhydrolase domain containing 17A 	0.3717959786	0.0944483134	-3.6191595202
 ABHD17A 	 abhydrolase domain containing 17A 	-0.2779904136	0.1827332909	-4.7879647109
 ABHD17AP4 	 abhydrolase domain containing 17A pseudogene P4 	0.0257255919	0.8937362239	-7.0029483908
 ABHD17B 	 abhydrolase domain containing 17B 	-0.2604530214	0.1386437689	-4.299903518
 ABHD17C 	 abhydrolase domain containing 17C 	-0.2106261575	0.2003914739	-4.9579911551
 ABHD2 	 abhydrolase domain containing 2 	0.0851105307	0.6373251035	-6.6932809752
 ABHD3 	 abhydrolase domain containing 3 	0.4799785876	0.1350445152	-4.2499243782
 ABHD4 	 abhydrolase domain containing 4 	0.1805416843	0.5798401412	-6.5807081007
 ABHD5 	 abhydrolase domain containing 5 	-0.0813261389	0.7182361082	-6.8233465935
 ABHD6 	 abhydrolase domain containing 6 	-0.7852805795	0.0651587016	-2.9527710605
 ABHD8 	 abhydrolase domain containing 8 	0.0965031214	0.6806369025	-6.7642825378
 ABI1 	 abl-interactor 1 	-0.0157762963	0.9383770234	-7.0257549364
 ABI2 	 abl-interactor 2 	-0.2597304318	0.1360355803	-4.2630162464
 ABI3 	 ABI family, member 3 	1.1379627459	0.0076846079	0.8524075785
 ABI3BP 	 ABI family, member 3 (NESH) binding protein 	0.0447335431	0.9077940923	-7.0112889481
 ABL1 	 ABL proto-oncogene 1, non-receptor tyrosine kinase 	-0.1337606156	0.4237757124	-6.1575005034
 ABL2 	 ABL proto-oncogene 2, non-receptor tyrosine kinase 	0.2308972636	0.149786353	-4.4349014017
 ABLIM1 	 actin binding LIM protein 1 	-0.1021109856	0.5057996022	-6.4069747339
 ABLIM2 	 actin binding LIM protein family, member 2 	0.2689831887	0.1306350594	-4.1946870768
 ABLIM3 	 actin binding LIM protein family, member 3 	-0.0780341867	0.7940309044	-6.9165950293
 ABO 	 ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase) 	-0.4660980438	0.1867713944	-4.8298670556
 ABR 	 active BCR-related 	0.2705033014	0.5018920416	-6.3955874413
 ABRA 	 actin-binding Rho activating protein 	-0.1217368434	0.4451403617	-6.2269402647
 ABRACL 	 ABRA C-terminal like 	0.0969548288	0.7209463818	-6.8269282011
 ABT1 	 activator of basal transcription 1 	0.4180883432	0.1175828866	-4.0044117715
 ABTB1 	 ankyrin repeat and BTB (POZ) domain containing 1 	0.0540417557	0.8240122139	-6.9478674114
 ABTB2 	 ankyrin repeat and BTB (POZ) domain containing 2 	0.050407529	0.765469993	-6.8840751804
 ACAA1 	 acetyl-CoA acyltransferase 1 	-0.6684841056	0.0974924984	-3.6746899419
 ACAA1 	 acetyl-CoA acyltransferase 1 	-0.1515730037	0.651158281	-6.718034643
 ACAA2 	 acetyl-CoA acyltransferase 2 	-0.7565854488	0.0441699206	-2.2549451705
 ACACA 	 acetyl-CoA carboxylase alpha 	-0.056846263	0.8044793431	-6.9274756626
 ACACB 	 acetyl-CoA carboxylase beta 	-0.6709001173	0.0257134728	-1.2058776527
 ACAD10 	 acyl-CoA dehydrogenase family, member 10 	-0.0963750298	0.5771335075	-6.5740099425
 ACAD8 	 acyl-CoA dehydrogenase family, member 8 	-0.4492119358	0.0458554242	-2.3269820117
 ACAD9 	 acyl-CoA dehydrogenase family, member 9 	0.2273929801	0.3113497819	-5.6907372
 ACADL 	 acyl-CoA dehydrogenase, long chain 	-1.0738014236	0.0030337624	2.5606315519
 ACADM 	 acyl-CoA dehydrogenase, C-4 to C-12 straight chain 	-1.1485924912	0.0075651247	0.8890375333
 ACADS 	 acyl-CoA dehydrogenase, C-2 to C-3 short chain 	-0.1034078947	0.6051574163	-6.6318348042
 ACADSB 	 acyl-CoA dehydrogenase, short	-1.5578378596	0.0076216547	0.8657594023
 ACADVL 	 acyl-CoA dehydrogenase, very long chain 	-0.1695212744	0.4069092222	-6.0987080071
 ACAN 	 aggrecan 	-0.3790631534	0.0716731954	-3.1258690597
 ACAP2 	 ArfGAP with coiled-coil, ankyrin repeat and PH domains 2 	0.0800997233	0.7473031235	-6.8606227122
 ACAP3 	 ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 	0.1332394544	0.4159931401	-6.1318044173
 ACAT1 	 acetyl-CoA acetyltransferase 1 	-1.0948739816	0.0027514015	2.7457752653
 ACAT2 	 acetyl-CoA acetyltransferase 2 	-0.1202547148	0.7671271952	-6.8859430637
 ACBD3 	 acyl-CoA binding domain containing 3 	0.0942973219	0.5776398182	-6.575336625
 ACBD4 	 acyl-CoA binding domain containing 4 	-0.1576735928	0.4675785109	-6.2963549697
 ACBD5 	 acyl-CoA binding domain containing 5 	-0.5127507823	0.0791770442	-3.3051806249
 ACBD6 	 acyl-CoA binding domain containing 6 	-0.0402863928	0.8291819255	-6.9529343571
 ACBD7 	 acyl-CoA binding domain containing 7 	0.0286765617	0.8958938861	-7.0043406059
 ACCS 	 1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional) 	0.1488659174	0.4905152397	-6.3645045666
 ACCSL 	 1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like 	-0.1258632601	0.6676442648	-6.744383586
 ACD 	 adrenocortical dysplasia homolog (mouse) 	0.674169799	0.0591358179	-2.7793291777
 ACE 	 angiotensin I converting enzyme 	-0.7074918125	0.0392177737	-2.0259612028
 ACE2 	 angiotensin I converting enzyme 2 	-1.1953019832	0.0126218055	0.0726470274
 ACER1 	 alkaline ceramidase 1 	0.019524163	0.9297854766	-7.0220100556
 ACER2 	 alkaline ceramidase 2 	0.0453289953	0.7899935602	-6.9122978629
 ACER3 	 alkaline ceramidase 3 	0.0017238757	0.9954856712	-7.0381557051
 ACHE 	 acetylcholinesterase (Yt blood group) 	0.1988428977	0.4367006902	-6.2008833529
 ACIN1 	 apoptotic chromatin condensation inducer 1 	0.2709697299	0.1264156757	-4.1295090958
 ACKR1 	 atypical chemokine receptor 1 (Duffy blood group) 	1.7741882356	0.0007038308	5.3737330167
 ACKR2 	 atypical chemokine receptor 2 	0.0622036078	0.8472275182	-6.9689552537
 ACKR3 	 atypical chemokine receptor 3 	-0.0420936307	0.8369972299	-6.960238631
 ACKR4 	 atypical chemokine receptor 4 	1.1954482842	0.0458554242	-2.3270887055
 ACKR4 	 atypical chemokine receptor 4 	0.0950826272	0.8439878017	-6.9664289429
 ACLY 	 ATP citrate lyase 	0.1904411468	0.3636804987	-5.9301422528
 ACMSD 	 aminocarboxymuconate semialdehyde decarboxylase 	-1.2359175016	0.0129051431	0.0356278176
 ACN9 	 ACN9 homolog (S. cerevisiae) 	-0.0849834213	0.6753690745	-6.7561306774
 ACO1 	 aconitase 1, soluble 	-0.3632395558	0.2790118605	-5.5107300594
 ACO2 	 aconitase 2, mitochondrial 	-0.4588069441	0.1156230843	-3.9726648954
 ACOT1 	 acyl-CoA thioesterase 1 	-0.893749376	0.0155036085	-0.2875619584
 ACOT11 	 acyl-CoA thioesterase 11 	-0.3553597535	0.2516444422	-5.3419145062
 ACOT12 	 acyl-CoA thioesterase 12 	-0.3259592966	0.0914363163	-3.5592633076
 ACOT13 	 acyl-CoA thioesterase 13 	-1.0034050469	0.013990032	-0.1118823986
 ACOT2 	 acyl-CoA thioesterase 2 	-0.746610015	0.0808822289	-3.3465313493
 ACOT4 	 acyl-CoA thioesterase 4 	-0.366751249	0.172278572	-4.6848196492
 ACOT6 	 acyl-CoA thioesterase 6 	-0.6363148405	0.0266888069	-1.2810966386
 ACOT7 	 acyl-CoA thioesterase 7 	-0.3110684983	0.3504781938	-5.8749060518
 ACOT7 	 acyl-CoA thioesterase 7 	-0.1499672887	0.5771054449	-6.5738584488
 ACOT8 	 acyl-CoA thioesterase 8 	0.0796923705	0.701315302	-6.7975165983
 ACOT9 	 acyl-CoA thioesterase 9 	0.19041468	0.3955409351	-6.0596029075
 ACOX1 	 acyl-CoA oxidase 1, palmitoyl 	-0.7553402341	0.034017253	-1.7494897043
 ACOX2 	 acyl-CoA oxidase 2, branched chain 	-1.1160522416	0.0338213968	-1.7374377522
 ACOX3 	 acyl-CoA oxidase 3, pristanoyl 	-0.0281884084	0.8863898921	-6.9983656166
 ACOXL 	 acyl-CoA oxidase-like 	0.3947347726	0.1902796417	-4.8664478305
 ACP1 	 acid phosphatase 1, soluble 	-0.3194512309	0.0919856767	-3.5717275906
 ACP2 	 acid phosphatase 2, lysosomal 	0.4416173744	0.1088193071	-3.8689550024
 ACP5 	 acid phosphatase 5, tartrate resistant 	-0.2960798043	0.469898303	-6.3029699725
 ACP6 	 acid phosphatase 6, lysophosphatidic 	-0.419996193	0.2384961396	-5.2556736863
 ACPP 	 acid phosphatase, prostate 	-0.9158201037	0.1341981115	-4.2378447005
 ACPT 	 acid phosphatase, testicular 	-0.1185068962	0.4826010164	-6.3418272386
 ACR 	 acrosin 	-0.1970633836	0.3081162209	-5.6733971807
 ACR 	 acrosin 	-0.0775891471	0.6782755868	-6.760353478
 ACRBP 	 acrosin binding protein 	0.3792286249	0.0472982028	-2.3736163094
 ACRC 	 acidic repeat containing 	-0.0835157968	0.8062740999	-6.9295366428
 ACRV1 	 acrosomal vesicle protein 1 	-0.0177312138	0.9157638996	-7.0155472304
 ACSBG1 	 acyl-CoA synthetase bubblegum family member 1 	-0.3455444742	0.0672791512	-3.0120344497
 ACSBG2 	 acyl-CoA synthetase bubblegum family member 2 	-0.5120143553	0.043669397	-2.2360378998
 ACSF2 	 acyl-CoA synthetase family member 2 	-0.8384358362	0.123103283	-4.0863795088
 ACSF3 	 acyl-CoA synthetase family member 3 	0.1636290136	0.350765822	-5.8767757844
 ACSL1 	 acyl-CoA synthetase long-chain family member 1 	-0.6175028286	0.1062406624	-3.8243771138
 ACSL3 	 acyl-CoA synthetase long-chain family member 3 	-0.4623590214	0.079784192	-3.3218975319
 ACSL4 	 acyl-CoA synthetase long-chain family member 4 	-0.2012308953	0.6932500357	-6.785075949
 ACSL5 	 acyl-CoA synthetase long-chain family member 5 	1.0128873664	0.0044797657	1.8025312667
 ACSL6 	 acyl-CoA synthetase long-chain family member 6 	-0.1364468712	0.3710992647	-5.9610960322
 ACSM1 	 acyl-CoA synthetase medium-chain family member 1 	0.0924984638	0.7215268207	-6.8279319722
 ACSM2A 	 acyl-CoA synthetase medium-chain family member 2A 	-1.0064318477	0.0087555459	0.6645675204
 ACSM2A 	 acyl-CoA synthetase medium-chain family member 2A 	-1.6180643171	0.0159176301	-0.3314199752
 ACSM2B 	 acyl-CoA synthetase medium-chain family member 2B 	-1.0134005342	0.0061087867	1.2465270495
 ACSM3 	 acyl-CoA synthetase medium-chain family member 3 	-1.5411882329	0.0058810533	1.3302249927
 ACSM5 	 acyl-CoA synthetase medium-chain family member 5 	-0.780153673	0.1789811889	-4.750692997
 ACSM6 	 acyl-CoA synthetase medium-chain family member 6 	0.0137682286	0.9517675472	-7.0307222157
 ACSS1 	 acyl-CoA synthetase short-chain family member 1 	0.1329429757	0.6377659356	-6.6941871934
 ACSS2 	 acyl-CoA synthetase short-chain family member 2 	-0.4149085265	0.2187433941	-5.1115744007
 ACSS3 	 acyl-CoA synthetase short-chain family member 3 	-1.113888877	0.0036236087	2.197679363
 ACTA1 	 actin, alpha 1, skeletal muscle 	-0.940270481	0.6172543179	-6.6569257163
 ACTA2 	 actin, alpha 2, smooth muscle, aorta 	-0.2830032263	0.6589517785	-6.7308435616
 ACTA2-AS1 	 ACTA2 antisense RNA 1 	0.0491115117	0.8116678091	-6.9351168516
 ACTB 	 actin, beta 	0.2391031027	0.1990007247	-4.9436445097
 ACTBL2 	 actin, beta-like 2 	0.1056813786	0.4950754233	-6.3777418413
 ACTBP2 	 actin, beta pseudogene 2 	0.1646534804	0.2658460986	-5.4320763594
 ACTBP7 	 actin, beta pseudogene 7 	0.1416913633	0.4413792258	-6.2157066381
 ACTC1 	 actin, alpha, cardiac muscle 1 	-0.9604996154	0.4749066175	-6.3201471128
 ACTG1 	 actin, gamma 1 	0.2676760323	0.1220347243	-4.0704203587
 ACTG1P1 	 actin, gamma 1 pseudogene 1 	-0.0852668925	0.6448491643	-6.7065431577
 ACTG2 	 actin, gamma 2, smooth muscle, enteric 	-2.4509477033	0.0787569715	-3.2951319704
 ACTL10 	 actin-like 10 	-0.089299605	0.5792527294	-6.5788903415
 ACTL6A 	 actin-like 6A 	0.0458962557	0.8127505976	-6.9362823948
 ACTL6B 	 actin-like 6B 	-0.1932234405	0.2771731282	-5.5006032844
 ACTL7A 	 actin-like 7A 	0.1940950303	0.3224729237	-5.7453797855
 ACTL7B 	 actin-like 7B 	-0.3658255786	0.2016379594	-4.9706023406
 ACTL8 	 actin-like 8 	-0.3095922622	0.2023238417	-4.9767553101
 ACTL9 	 actin-like 9 	-0.4167689565	0.0853232613	-3.4380141363
 ACTN1 	 actinin, alpha 1 	0.1976180623	0.6413318641	-6.7004048633
 ACTN2 	 actinin, alpha 2 	-1.2180741269	0.5182447537	-6.4372397613
 ACTN3 	 actinin, alpha 3 	-0.4570410943	0.1589142289	-4.5423312436
 ACTN4 	 actinin, alpha 4 	-0.0083642035	0.9642652936	-7.0340458207
 ACTR10 	 actin-related protein 10 homolog (S. cerevisiae) 	0.1291472368	0.6529071209	-6.7212300133
 ACTR1A 	 ARP1 actin-related protein 1 homolog A, centractin alpha (yeast) 	0.4909927675	0.0837423252	-3.4038623997
 ACTR1B 	 ARP1 actin-related protein 1 homolog B, centractin beta (yeast) 	0.1090317694	0.556489483	-6.5280497166
 ACTR2 	 ARP2 actin-related protein 2 homolog (yeast) 	0.3752849237	0.054261219	-2.6288797831
 ACTR3 	 ARP3 actin-related protein 3 homolog (yeast) 	0.265756135	0.3219878797	-5.7423348192
 ACTR3B 	 ARP3 actin-related protein 3 homolog B (yeast) 	0.0071463168	0.9737075218	-7.0360205987
 ACTR3BP2 	 ACTR3B pseudogene 2 	0.3489380584	0.1426498748	-4.3506574765
 ACTR3BP2 	 ACTR3B pseudogene 2 	0.1882347815	0.3168540657	-5.7172061928
 ACTR3BP2 	 ACTR3B pseudogene 2 	0.1591049066	0.3991851126	-6.0726732447
 ACTR3BP2 	 ACTR3B pseudogene 2 	-0.02039189	0.9203227624	-7.0177941412
 ACTR3C 	 ARP3 actin-related protein 3 homolog C (yeast) 	-0.5152808659	0.102099301	-3.7511524613
 ACTR5 	 ARP5 actin-related protein 5 homolog (yeast) 	0.4250272147	0.0471447679	-2.3685033257
 ACTR6 	 ARP6 actin-related protein 6 homolog (yeast) 	-0.0861205681	0.799637092	-6.9225921243
 ACTR8 	 ARP8 actin-related protein 8 homolog (yeast) 	0.0446255676	0.8044554544	-6.9274103848
 ACTRT1 	 actin-related protein T1 	-0.1332805869	0.5365856868	-6.4813918469
 ACTRT2 	 actin-related protein T2 	-0.026135281	0.9105316787	-7.0127737743
 ACTRT3 	 actin-related protein T3 	-0.0809413047	0.707766361	-6.8076300796
 ACVR1 	 activin A receptor, type I 	-0.1146556666	0.5893586617	-6.5998956318
 ACVR1B 	 activin A receptor, type IB 	-0.4733264271	0.0228913636	-0.9916195163
 ACVR1C 	 activin A receptor, type IC 	-0.4031520885	0.1310847535	-4.1994581218
 ACVR2A 	 activin A receptor, type IIA 	-0.3143174487	0.2143877766	-5.0765484724
 ACVR2B 	 activin A receptor, type IIB 	-0.3251661965	0.1334367279	-4.2295524317
 ACVRL1 	 activin A receptor type II-like 1 	0.4374598625	0.0523955474	-2.5700107335
 ACY1 	 aminoacylase 1 	-1.1280529442	0.0024178298	2.9851320547
 ACY3 	 aspartoacylase (aminocyclase) 3 	-0.9780426407	0.0080991071	0.7839879764
 ACYP1 	 acylphosphatase 1, erythrocyte (common) type 	-0.0620076622	0.7520193728	-6.8670636836
 ACYP2 	 acylphosphatase 2, muscle type 	-0.2682664561	0.2075275306	-5.0211243045
 ADA 	 adenosine deaminase 	1.6723156044	0.0033958105	2.3422604976
 ADAD1 	 adenosine deaminase domain containing 1 (testis-specific) 	-0.0697933099	0.7401456467	-6.8518229915
 ADAD2 	 adenosine deaminase domain containing 2 	-0.0570962789	0.7250114058	-6.8324116681
 ADAL 	 adenosine deaminase-like 	-0.5908017275	0.0651136655	-2.9517749516
 ADAM10 	 ADAM metallopeptidase domain 10 	0.2267580781	0.2233577361	-5.150227162
 ADAM11 	 ADAM metallopeptidase domain 11 	-0.0969506422	0.6985716902	-6.7938618229
 ADAM12 	 ADAM metallopeptidase domain 12 	0.9143607779	0.3286870082	-5.7749045788
 ADAM15 	 ADAM metallopeptidase domain 15 	0.4297862927	0.0589902496	-2.7744522783
 ADAM17 	 ADAM metallopeptidase domain 17 	0.1885679052	0.4952497641	-6.3782090741
 ADAM18 	 ADAM metallopeptidase domain 18 	0.1261734362	0.4087744092	-6.1062898193
 ADAM19 	 ADAM metallopeptidase domain 19 	1.6310098208	0.004074533	1.9971666978
 ADAM2 	 ADAM metallopeptidase domain 2 	-0.0178566683	0.9233303711	-7.0190341507
 ADAM20 	 ADAM metallopeptidase domain 20 	-0.1121196611	0.6154150267	-6.6522909525
 ADAM20P1 	 ADAM metallopeptidase domain 20 pseudogene 1 	-0.2595874599	0.2798698472	-5.5173335285
 ADAM21 	 ADAM metallopeptidase domain 21 	-0.3051452152	0.2387652252	-5.2593076499
